name	theme	type	cost	est_cust	maintenance_time	workers updated_at
Plank Mountain	pirate	coaster	3324000	3644	12	4	2022-05-15T15:12:59.152Z
Creepy Toboggan	spooky	flat	1508000	1732	12	5	2022-05-15T15:12:59.152Z
Nightmare Omelettes	spooky	food	150000	78	13	2	2022-05-15T15:12:59.152Z
Treasure Slide	pirate	kids	65000	216	25	5	2022-05-15T15:12:59.152Z
Waterlogged Curry	aquarium	food	144000	129	5	3	2022-05-15T15:12:59.152Z
Comet Train	space	kids	120000	82	12	4	2022-05-15T15:12:59.152Z
Skeleton Windjammer	spooky	kids	106000	486	12	3	2022-05-15T15:12:59.152Z
Void Souvenirs	space	shop	103000	61	10	2	2022-05-15T15:12:59.152Z
Radical Candy	extreme	shop	70000	120	25	5	2022-05-15T15:12:59.152Z
Plank -Go-Round	pirate	kids	138000	453	25	5	2022-05-15T15:12:59.152Z
Orbit Triple Flip	space	flat	1692000	1174	37	2	2022-05-15T15:12:59.152Z
Jellyfish Dodgems	aquarium	kids	110000	273	25	3	2022-05-15T15:12:59.152Z
Creepy Spinner	spooky	flat	1877000	1277	32	2	2022-05-15T15:12:59.152Z
Safari Stationery	zoo	shop	90000	64	17	4	2022-05-15T15:12:59.152Z
Mutiny Crepes	pirate	food	85000	83	10	5	2022-05-15T15:12:59.152Z
Asteroid Mountain	space	coaster	920000	696	29	2	2022-05-15T15:12:59.152Z
Avast Dodgems	pirate	kids	91000	159	25	2	2022-05-15T15:12:59.152Z
Solstace Plunge	space	coaster	2182000	2402	32	2	2022-05-15T15:12:59.152Z
Utter Massage	extreme	shop	99000	73	5	2	2022-05-15T15:12:59.152Z
Harrowing Shock	extreme	flat	1946000	1599	32	5	2022-05-15T15:12:59.152Z
Scary Bungie	spooky	flat	1420000	1702	25	5	2022-05-15T15:12:59.152Z
Plank Chocolates	pirate	shop	117000	158	16	5	2022-05-15T15:12:59.152Z
Gangplank Shaker	pirate	flat	1081000	847	39	2	2022-05-15T15:12:59.152Z
Panda Lightspeed	zoo	coaster	1167000	1159	10	5	2022-05-15T15:12:59.152Z
Excessive Turbulence	extreme	flat	1596000	1703	20	3	2022-05-15T15:12:59.152Z
Irrational Glider	extreme	coaster	1968000	1403	9	3	2022-05-15T15:12:59.152Z
Planetfall Pins	space	shop	92000	137	10	2	2022-05-15T15:12:59.152Z
Scary Chocolates	spooky	shop	100000	71	33	4	2022-05-15T15:12:59.152Z
Monkey Massage	zoo	shop	104000	104	11	2	2022-05-15T15:12:59.152Z
Severe Coaster	extreme	coaster	909000	2269	16	5	2022-05-15T15:12:59.152Z
Capybara Rotator	zoo	kids	100000	321	37	5	2022-05-15T15:12:59.152Z
Screaming Pizza	spooky	food	95000	83	20	3	2022-05-15T15:12:59.152Z
Anchor Acupuncture	pirate	shop	100000	110	20	2	2022-05-15T15:12:59.152Z
Gangplank Dodgems	pirate	kids	149000	135	23	2	2022-05-15T15:12:59.152Z
Algae Udon	aquarium	food	72000	116	20	3	2022-05-15T15:12:59.152Z
Reptile -Go-Round	zoo	kids	100000	354	38	5	2022-05-15T15:12:59.152Z
Nautical Thriller	pirate	coaster	3758000	2633	23	5	2022-05-15T15:12:59.152Z
Hatchery Walkabout	aquarium	kids	149000	484	12	3	2022-05-15T15:12:59.152Z
Severe Stationery	extreme	shop	41000	22	28	3	2022-05-15T15:12:59.152Z
Asteroid Goliath	space	coaster	3217000	3023	9	5	2022-05-15T15:12:59.152Z
Pirate Pins	pirate	shop	102000	121	29	5	2022-05-15T15:12:59.152Z
Excessive Acupuncture	extreme	shop	130000	154	29	3	2022-05-15T15:12:59.152Z
Dark Bumpers	spooky	kids	105000	462	23	4	2022-05-15T15:12:59.152Z
Galleon Nauseator	pirate	flat	1906000	1373	39	5	2022-05-15T15:12:59.152Z
Astronaut Nauseator	space	flat	1947000	1885	28	3	2022-05-15T15:12:59.152Z
Utter Mini-coaster	extreme	coaster	1261000	1670	25	3	2022-05-15T15:12:59.152Z
Moon Pins	space	shop	106000	86	35	4	2022-05-15T15:12:59.152Z
Panda Plunge	zoo	coaster	3580000	2062	37	5	2022-05-15T15:12:59.152Z
Nightmare Massage	spooky	shop	70000	124	33	2	2022-05-15T15:12:59.152Z
Woodland Rocket	zoo	coaster	1520000	2540	12	4	2022-05-15T15:12:59.152Z
Capybara Traveler	zoo	coaster	3443000	2457	33	3	2022-05-15T15:12:59.152Z
Marine Lightspeed	aquarium	coaster	1052000	780	10	4	2022-05-15T15:12:59.152Z
Reptile Udon	zoo	food	107000	116	28	3	2022-05-15T15:12:59.152Z
Zombie Goliath	spooky	coaster	1697000	1347	6	4	2022-05-15T15:12:59.152Z
Sailor Slide	pirate	kids	61000	373	17	3	2022-05-15T15:12:59.152Z
Comet Whirlwind	space	flat	1385000	1417	14	2	2022-05-15T15:12:59.152Z
Satellite Zipper	space	flat	1206000	745	40	2	2022-05-15T15:12:59.152Z
Severe Fury	extreme	flat	870000	667	39	2	2022-05-15T15:12:59.152Z
Pirate Speedway	pirate	kids	118000	165	23	3	2022-05-15T15:12:59.152Z
Pirate Glider	pirate	coaster	3577000	2819	34	4	2022-05-15T15:12:59.152Z
Saltwater Mont Blanc	aquarium	food	101000	74	26	3	2022-05-15T15:12:59.152Z
Hippo Bumpers	zoo	kids	97000	362	11	4	2022-05-15T15:12:59.152Z
Dolphin Coaster	aquarium	coaster	3238000	2704	27	5	2022-05-15T15:12:59.152Z
Untamed Hats	zoo	shop	64000	80	10	2	2022-05-15T15:12:59.152Z
Jellyfish Teacups	aquarium	kids	77000	426	18	4	2022-05-15T15:12:59.152Z
Elephant Hamburgers	zoo	food	122000	91	22	2	2022-05-15T15:12:59.152Z
Arrrr Minecart	pirate	coaster	1329000	2597	35	4	2022-05-15T15:12:59.152Z
Solstace Swing	space	kids	143000	548	9	3	2022-05-15T15:12:59.152Z
Gangplank Teacups	pirate	kids	124000	273	33	5	2022-05-15T15:12:59.152Z
Carnivore Thriller	zoo	coaster	1666000	841	20	3	2022-05-15T15:12:59.152Z
Screaming Hamburgers	spooky	food	113000	68	15	5	2022-05-15T15:12:59.152Z
Haunted Speedway	spooky	kids	132000	165	28	3	2022-05-15T15:12:59.152Z
Comet Souvenirs	space	shop	115000	57	15	3	2022-05-15T15:12:59.152Z
Creepy Portraits	spooky	shop	93000	58	37	2	2022-05-15T15:12:59.152Z
Galleon Rush	pirate	coaster	2684000	2021	39	5	2022-05-15T15:12:59.152Z
Capybara Ramen	zoo	food	52000	88	21	2	2022-05-15T15:12:59.152Z
Monkey Intimidator	zoo	coaster	3649000	1896	20	3	2022-05-15T15:12:59.152Z
Arrrr Pins	pirate	shop	58000	63	27	3	2022-05-15T15:12:59.152Z
Madness Spinner	extreme	flat	1056000	1234	17	5	2022-05-15T15:12:59.152Z
Marine Swing	aquarium	kids	79000	491	31	2	2022-05-15T15:12:59.152Z
Creepy Speedway	spooky	kids	74000	72	7	3	2022-05-15T15:12:59.152Z
Panda Slide	zoo	kids	91000	118	32	4	2022-05-15T15:12:59.152Z
Dolphin Plunge	aquarium	coaster	1581000	1092	13	5	2022-05-15T15:12:59.152Z
Elephant Maritozzo	zoo	food	117000	125	27	4	2022-05-15T15:12:59.152Z
Mutiny Stationery	pirate	shop	115000	120	14	2	2022-05-15T15:12:59.152Z
Severe Portraits	extreme	shop	58000	34	10	4	2022-05-15T15:12:59.152Z
Dolphin Stationery	aquarium	shop	53000	76	16	5	2022-05-15T15:12:59.152Z
Grave Zipper	spooky	flat	1752000	1112	30	5	2022-05-15T15:12:59.152Z
Antarctic Souvenirs	zoo	shop	49000	33	19	4	2022-05-15T15:12:59.152Z
Starfish Shaker	aquarium	flat	524000	539	35	4	2022-05-15T15:12:59.152Z
Jungle Speedway	zoo	kids	145000	375	28	5	2022-05-15T15:12:59.152Z
Monkey Violence	zoo	flat	902000	1131	11	5	2022-05-15T15:12:59.152Z
Pirate Coaster	pirate	coaster	2190000	3077	31	2	2022-05-15T15:12:59.152Z
Mutiny Curry	pirate	food	147000	92	21	4	2022-05-15T15:12:59.152Z
Grave Balloons	spooky	shop	126000	70	10	5	2022-05-15T15:12:59.152Z
Sailor Shaker	pirate	flat	1255000	830	8	2	2022-05-15T15:12:59.152Z
Cosmonaut Violence	space	flat	1048000	904	40	2	2022-05-15T15:12:59.152Z
Scary Gyoza	spooky	food	116000	98	36	3	2022-05-15T15:12:59.152Z
Planetfall Triple Flip	space	flat	1906000	1348	17	2	2022-05-15T15:12:59.152Z
Wildlife Coaster	zoo	coaster	1364000	2035	24	4	2022-05-15T15:12:59.152Z
Mutiny Gyoza	pirate	food	58000	91	27	3	2022-05-15T15:12:59.152Z
Asteroid Vengeance	space	coaster	3174000	3343	27	5	2022-05-15T15:12:59.152Z
Gravity Ramen	space	food	141000	120	13	5	2022-05-15T15:12:59.152Z
Safari Hamburgers	zoo	food	54000	120	35	5	2022-05-15T15:12:59.152Z
Zombie Force	spooky	coaster	1280000	2552	35	5	2022-05-15T15:12:59.152Z
Radical Glider	extreme	coaster	1414000	992	26	3	2022-05-15T15:12:59.152Z
Zombie Flight	spooky	kids	70000	140	38	2	2022-05-15T15:12:59.152Z
Safari Speedway	zoo	kids	96000	266	14	2	2022-05-15T15:12:59.152Z
Severe Mountain	extreme	coaster	3390000	3271	31	5	2022-05-15T15:12:59.152Z
Irrational Shaker	extreme	flat	1734000	901	38	2	2022-05-15T15:12:59.152Z
Arrrr Acupuncture	pirate	shop	119000	86	36	3	2022-05-15T15:12:59.152Z
Rocketeer Sushi	space	food	98000	140	39	5	2022-05-15T15:12:59.152Z
Harrowing Toboggan	extreme	flat	744000	1138	30	2	2022-05-15T15:12:59.152Z
Void Boat	space	kids	132000	527	38	4	2022-05-15T15:12:59.152Z
Shooting Star Pins	space	shop	119000	129	26	5	2022-05-15T15:12:59.152Z
Unreasonable Whiplash	extreme	coaster	3425000	3141	11	5	2022-05-15T15:12:59.152Z
Comet Glider	space	coaster	622000	1057	24	4	2022-05-15T15:12:59.152Z
Hippo Flight	zoo	kids	98000	367	11	3	2022-05-15T15:12:59.152Z
Untamed Balloons	zoo	shop	115000	115	36	3	2022-05-15T15:12:59.152Z
Coral Fury	aquarium	flat	514000	369	27	2	2022-05-15T15:12:59.152Z
Shooting Star Thriller	space	coaster	3461000	2363	28	4	2022-05-15T15:12:59.152Z
Spooky Chaser	spooky	coaster	3800000	3780	25	2	2022-05-15T15:12:59.152Z
Marine Slide	aquarium	kids	131000	409	8	4	2022-05-15T15:12:59.152Z
Nightmare Candy	spooky	shop	125000	156	11	3	2022-05-15T15:12:59.152Z
Carnivore Nauseator	zoo	flat	803000	1299	21	4	2022-05-15T15:12:59.152Z
Forest House of Mirrors	zoo	kids	82000	320	15	5	2022-05-15T15:12:59.152Z
Safari Fried Potatoes	zoo	food	129000	103	39	3	2022-05-15T15:12:59.152Z
Panda Windjammer	zoo	kids	100000	158	23	5	2022-05-15T15:12:59.152Z
Ghastly Intimidator	spooky	coaster	2888000	1816	32	3	2022-05-15T15:12:59.152Z
Plank Pets	pirate	shop	121000	81	17	3	2022-05-15T15:12:59.152Z
Marine Minecart	aquarium	coaster	2156000	2130	24	5	2022-05-15T15:12:59.152Z
Nightmare Teacups	spooky	kids	96000	103	22	5	2022-05-15T15:12:59.152Z
Nautical Coaster	pirate	coaster	3171000	2046	13	5	2022-05-15T15:12:59.152Z
Dark Minecart	spooky	coaster	2591000	2212	19	2	2022-05-15T15:12:59.152Z
Shooting Star Balloons	space	shop	94000	100	18	2	2022-05-15T15:12:59.152Z
Saltwater Acupuncture	aquarium	shop	31000	74	36	2	2022-05-15T15:12:59.152Z
Safari Intimidator	zoo	coaster	3543000	3019	15	4	2022-05-15T15:12:59.152Z
Mutiny Chocolates	pirate	shop	38000	52	24	3	2022-05-15T15:12:59.152Z
Irrational Cars	extreme	kids	72000	272	14	3	2022-05-15T15:12:59.152Z
Dark Crepes	spooky	food	100000	122	30	2	2022-05-15T15:12:59.152Z
Haunted Dodgems	spooky	kids	87000	253	15	2	2022-05-15T15:12:59.152Z
Ghoulish Shock	spooky	flat	1008000	1029	22	5	2022-05-15T15:12:59.152Z
Untamed Drop	zoo	flat	1502000	1028	7	2	2022-05-15T15:12:59.152Z
Extreme Cars	extreme	kids	73000	58	35	2	2022-05-15T15:12:59.152Z
Skull and Bones Violence	pirate	flat	1475000	997	37	3	2022-05-15T15:12:59.152Z
Safari Windjammer	zoo	kids	143000	489	31	2	2022-05-15T15:12:59.152Z
Grave Steak	spooky	food	129000	153	14	5	2022-05-15T15:12:59.152Z
Eclipse Glider	space	coaster	2392000	2647	23	3	2022-05-15T15:12:59.152Z
Black Hole Curry	space	food	134000	156	35	5	2022-05-15T15:12:59.152Z
Galleon Fusion	pirate	coaster	1111000	2331	35	4	2022-05-15T15:12:59.152Z
Dolphin Violence	aquarium	flat	1500000	993	21	4	2022-05-15T15:12:59.152Z
Treasure Slingshot	pirate	flat	1778000	1687	31	3	2022-05-15T15:12:59.152Z
Untamed Stationery	zoo	shop	39000	31	35	3	2022-05-15T15:12:59.152Z
Phantasmic Intimidator	spooky	coaster	608000	933	17	4	2022-05-15T15:12:59.152Z
Ultimate Walkabout	extreme	kids	112000	231	31	3	2022-05-15T15:12:59.152Z
Algae Candy	aquarium	shop	55000	44	11	2	2022-05-15T15:12:59.152Z
Wildlife Nauseator	zoo	flat	1300000	797	24	4	2022-05-15T15:12:59.152Z
Avast Stationery	pirate	shop	108000	139	11	4	2022-05-15T15:12:59.152Z
Wetland Shock	aquarium	flat	1973000	1255	27	4	2022-05-15T15:12:59.152Z
Maniac Walkabout	extreme	kids	83000	527	27	4	2022-05-15T15:12:59.152Z
Hippo Fried Chicken	zoo	food	121000	88	38	4	2022-05-15T15:12:59.152Z
Shooting Star Maritozzo	space	food	103000	97	28	4	2022-05-15T15:12:59.152Z
Radical Pins	extreme	shop	103000	80	33	4	2022-05-15T15:12:59.152Z
Submerged Balloons	aquarium	shop	79000	87	16	2	2022-05-15T15:12:59.152Z
Extreme Teacups	extreme	kids	122000	548	22	2	2022-05-15T15:12:59.152Z
Safari Rush	zoo	coaster	2152000	1686	23	5	2022-05-15T15:12:59.152Z
Cosmonaut -Go-Round	space	kids	67000	360	33	2	2022-05-15T15:12:59.152Z
Phantasmic Rotator	spooky	kids	99000	334	29	2	2022-05-15T15:12:59.152Z
Gravity Steak	space	food	149000	122	35	5	2022-05-15T15:12:59.152Z
Utter Nauseator	extreme	flat	1034000	1138	16	5	2022-05-15T15:12:59.152Z
Planetfall Fusion	space	coaster	1857000	1834	18	4	2022-05-15T15:12:59.152Z
Shooting Star Whiplash	space	coaster	3509000	1839	25	2	2022-05-15T15:12:59.152Z
Cemetery Rocket	spooky	coaster	3933000	2281	19	3	2022-05-15T15:12:59.152Z
Harrowing Fried Chicken	extreme	food	82000	126	10	5	2022-05-15T15:12:59.152Z
Shooting Star Windjammer	space	kids	64000	325	10	2	2022-05-15T15:12:59.152Z
Dolphin Sushi	aquarium	food	128000	141	39	2	2022-05-15T15:12:59.152Z
Jungle Nauseator	zoo	flat	1567000	1693	31	5	2022-05-15T15:12:59.152Z
Reptile Force	zoo	coaster	3056000	2066	21	2	2022-05-15T15:12:59.152Z
Arrrr Steak	pirate	food	127000	79	20	2	2022-05-15T15:12:59.152Z
Sailor Train	pirate	kids	126000	121	31	2	2022-05-15T15:12:59.152Z
Haunted Coaster	spooky	coaster	2126000	1869	18	3	2022-05-15T15:12:59.152Z
Plank Hamburgers	pirate	food	107000	83	25	2	2022-05-15T15:12:59.152Z
Scary Fusion	spooky	coaster	1637000	2342	34	4	2022-05-15T15:12:59.152Z
Avast Gyoza	pirate	food	85000	109	26	4	2022-05-15T15:12:59.152Z
Avast Crepes	pirate	food	99000	72	26	5	2022-05-15T15:12:59.152Z
Skull and Bones Thriller	pirate	coaster	1616000	1474	17	2	2022-05-15T15:12:59.152Z
Saltwater -Go-Round	aquarium	kids	76000	192	27	3	2022-05-15T15:12:59.152Z
Wetland Mini-coaster	aquarium	coaster	3798000	3522	16	5	2022-05-15T15:12:59.152Z
Submerged Spinner	aquarium	flat	1529000	986	20	4	2022-05-15T15:12:59.152Z
Radical Steak	extreme	food	65000	75	27	2	2022-05-15T15:12:59.152Z
Moon -Go-Round	space	kids	146000	295	23	5	2022-05-15T15:12:59.152Z
Treasure Turbulence	pirate	flat	770000	765	39	2	2022-05-15T15:12:59.152Z
Woodland Swing	zoo	kids	111000	463	39	2	2022-05-15T15:12:59.152Z
Monkey Boat	zoo	kids	69000	53	14	2	2022-05-15T15:12:59.152Z
Mutiny Rotator	pirate	kids	77000	118	27	2	2022-05-15T15:12:59.152Z
Phantasmic Hamburgers	spooky	food	75000	48	33	4	2022-05-15T15:12:59.152Z
Gravity Shaker	space	flat	1821000	1167	16	3	2022-05-15T15:12:59.152Z
Planetfall Whirlwind	space	flat	503000	289	35	2	2022-05-15T15:12:59.152Z
Gangplank Hot Dogs	pirate	food	86000	74	16	2	2022-05-15T15:12:59.152Z
Reptile Screamer	zoo	coaster	3707000	2102	32	5	2022-05-15T15:12:59.152Z
Inordinate Massage	extreme	shop	87000	62	5	3	2022-05-15T15:12:59.152Z
Wildlife Flight	zoo	kids	80000	171	6	3	2022-05-15T15:12:59.152Z
Maniac Bumpers	extreme	kids	74000	346	27	3	2022-05-15T15:12:59.152Z
